1:65000-70000	OR4F5
11:118400000-118405000	RP11-770J1.8
11:118400000-118405000	ATP5MG
11:118435000-118440000	KMT2A
11:118525000-118530000	TTC36
11:118530000-118535000	TMEM25
11:118570000-118575000	IFT46
11:118570000-118575000	ARCN1
11:118605000-118610000	PHLDB1
11:118675000-118680000	TREH
11:118790000-118795000	DDX6
11:118880000-118885000	CXCR5
11:118925000-118930000	BCL9L
11:118925000-118930000	UPK2
11:118970000-118975000	FOXR1
11:118995000-119000000	CENATAC
11:119015000-119020000	RPS25
11:119015000-119020000	TRAPPC4
11:119030000-119035000	SLC37A4
11:119055000-119060000	HYOU1
11:119065000-119070000	VPS11
11:119080000-119085000	HMBS
11:119095000-119100000	H2AX
11:119100000-119105000	C2CD2L
11:119105000-119110000	DPAGT1
11:119120000-119125000	HINFP
11:119145000-119150000	ABCG4
11:119165000-119170000	NLRX1
11:119185000-119190000	PDZD3
11:119195000-119200000	CCDC153
11:119205000-119210000	CBL
11:119320000-119325000	MCAM
11:119330000-119335000	RNF26
11:119340000-119345000	C1QTNF5
11:119345000-119350000	MFRP
11:119380000-119385000	USP2
11:119420000-119425000	THY1
11:119725000-119730000	NECTIN1
11:120185000-120190000	TRIM29
11:120210000-120215000	OAF
11:120235000-120240000	POU2F3
11:120325000-120330000	TLCD5
11:120335000-120340000	ARHGEF12
11:120510000-120515000	GRIK4
11:121020000-121025000	TBCEL
11:121020000-121025000	TBCEL-TECTA
11:121100000-121105000	TECTA
11:121290000-121295000	SC5D
11:121450000-121455000	SORL1
11:122115000-122120000	BLID
11:122655000-122660000	UBASH3B
11:122835000-122840000	CRTAM
11:122880000-122885000	JHY
11:122980000-122985000	BSX
11:123060000-123065000	HSPA8
11:123195000-123200000	CLMP
11:123355000-123360000	GRAMD1B
11:123655000-123660000	SCN3B
11:123740000-123745000	ZNF202
11:123750000-123755000	OR6X1
11:123805000-123810000	OR6M1
11:123885000-123890000	TMEM225
11:123900000-123905000	OR8D4
11:123935000-123940000	OR4D5
11:123940000-123945000	OR6T1
11:123975000-123980000	OR10S1
11:123995000-124000000	OR10G6
11:124010000-124015000	OR10G4
11:124020000-124025000	OR10G9
11:124025000-124030000	OR10G8
11:124040000-124045000	OR10G7
11:124115000-124120000	VWA5A
11:124180000-124185000	OR10D3
11:124240000-124245000	OR8G1
11:124255000-124260000	OR8G5
11:124315000-124320000	OR8D1
11:124320000-124325000	OR8D2
11:124380000-124385000	OR8B2
11:124395000-124400000	OR8B3
11:124420000-124425000	OR8B4
11:124445000-124450000	OR8B8
11:124545000-124550000	OR8B12
11:124565000-124570000	OR8A1
11:124610000-124615000	PANX3
11:124620000-124625000	TBRG1
11:124670000-124675000	SPA17
11:124695000-124700000	SIAE
11:124735000-124740000	NRGN
11:124750000-124755000	VSIG2
11:124760000-124765000	ESAM
11:124800000-124805000	MSANTD2
11:124865000-124870000	ROBO3
11:124895000-124900000	ROBO4
11:124915000-124920000	HEPN1
11:124935000-124940000	HEPACAM
11:124950000-124955000	CCDC15
11:125060000-125065000	SLC37A2
11:125110000-125115000	TMEM218
11:125160000-125165000	PKNOX2
11:125565000-125570000	EI24
11:125590000-125595000	FEZ1
11:125590000-125595000	STT3A
11:125625000-125630000	CHEK1
11:125680000-125685000	ACRV1
11:125745000-125750000	PATE1
11:125775000-125780000	PATE2
11:125785000-125790000	PATE3
11:125830000-125835000	PATE4
11:125880000-125885000	HYLS1
11:125900000-125905000	PUS3
11:125900000-125905000	DDX25
11:125945000-125950000	VSIG10L2
11:126060000-126065000	CDON
11:126210000-126215000	RPUSD4
11:126210000-126215000	FAM118B
11:126265000-126270000	SRPRA
11:126265000-126270000	FOXRED1
11:126280000-126285000	TIRAP
11:126300000-126305000	DCPS
11:126355000-126360000	ST3GAL4
11:127000000-127005000	KIRREL3
11:128585000-128590000	ETS1
11:128685000-128690000	FLI1
11:128865000-128870000	KCNJ1
11:128890000-128895000	KCNJ5
11:128905000-128910000	C11orf45
11:128940000-128945000	TP53AIP1
11:129275000-129280000	ARHGAP32
11:129375000-129380000	BARX2
11:129815000-129820000	TMEM45B
11:129895000-129900000	NFRKB
11:130000000-130005000	PRDM10
11:130065000-130070000	APLP2
11:130155000-130160000	ST14
11:130310000-130315000	ZBTB44
11:130425000-130430000	ADAMTS8
11:130445000-130450000	ADAMTS15
11:130915000-130920000	SNX19
11:131370000-131375000	NTM
11:133530000-133535000	OPCML
11:133845000-133850000	SPATA19
11:133955000-133960000	IGSF9B
11:134065000-134070000	JAM3
11:134220000-134225000	VPS26B
11:134225000-134230000	NCAPD3
11:134250000-134255000	THYN1
11:134250000-134255000	ACAD8
11:134270000-134275000	GLB1L3
11:134330000-134335000	GLB1L2
11:134410000-134415000	B3GAT1
12:65000-70000	IQSEC3
12:210000-215000	SLC6A12
12:260000-265000	SLC6A13
12:385000-390000	KDM5A
12:385000-390000	CCDC77
12:455000-460000	B4GALNT3
12:660000-665000	NINJ2
12:750000-755000	WNK1
12:990000-995000	RAD52
12:990000-995000	ERC1
12:1525000-1530000	WNT5B
12:1590000-1595000	FBXL14
12:1685000-1690000	ADIPOR2
12:1820000-1825000	LRTM2
12:1915000-1920000	CACNA2D4
12:1970000-1975000	CACNA1C
12:2000000-2005000	DCP1B
12:2790000-2795000	FKBP4
12:2810000-2815000	ITFG2
12:2835000-2840000	NRIP2
12:2855000-2860000	TEX52
12:2875000-2880000	FOXM1
12:2875000-2880000	RHNO1
12:2875000-2880000	TULP3
12:2955000-2960000	TEAD4
12:3075000-3080000	TSPAN9
12:3380000-3385000	PRMT8
12:3760000-3765000	CRACR2A
12:3870000-3875000	PARP11
12:4265000-4270000	CCND2
12:4270000-4275000	RP11-388F6.5
12:4305000-4310000	TIGAR
12:4375000-4380000	FGF23
12:4445000-4450000	FGF6
12:4535000-4540000	C12orf4
12:4535000-4540000	RAD51AP1
12:4560000-4565000	DYRK4
12:4600000-4605000	RP11-500M8.7
12:4645000-4650000	AKAP3
12:4645000-4650000	NDUFA9
12:4645000-4650000	RP11-234B24.6
12:4720000-4725000	GALNT8
12:4805000-4810000	KCNA6
12:4905000-4910000	KCNA1
12:5040000-5045000	KCNA5
12:5430000-5435000	NTF3
12:5945000-5950000	ANO2
12:6120000-6125000	VWF
12:6195000-6200000	CD9
12:6310000-6315000	PLEKHG6
12:6340000-6345000	TNFRSF1A
12:6375000-6380000	SCNN1A
12:6375000-6380000	LTBR
12:6440000-6445000	CD27
12:6450000-6455000	TAPBPL
12:6470000-6475000	VAMP1
12:6490000-6495000	MRPL51
12:6490000-6495000	NCAPD2
12:6530000-6535000	GAPDH
12:6555000-6560000	IFFO1
12:6565000-6570000	NOP2
12:6605000-6610000	RP5-940J5.10
12:6610000-6615000	CHD4
12:6635000-6640000	LPAR5
12:6645000-6650000	ACRBP
12:6660000-6665000	ING4
12:6685000-6690000	ZNF384
12:6700000-6705000	PIANP
12:6720000-6725000	COPS7A
12:6765000-6770000	PTMS
12:6765000-6770000	MLF2
12:6770000-6775000	LAG3
12:6785000-6790000	CD4
12:6820000-6825000	GPR162
12:6825000-6830000	P3H3
12:6835000-6840000	GNB3
12:6850000-6855000	CDCA3
12:6850000-6855000	USP5
12:6865000-6870000	TPI1
12:6870000-6875000	LRRC23
12:6885000-6890000	SPSB2
12:6910000-6915000	ENO2
12:6920000-6925000	ATN1
12:6940000-6945000	C12orf57
12:6945000-6950000	PTPN6
12:6970000-6975000	PHB2
12:6970000-6975000	EMG1
12:6985000-6990000	C1S
12:7015000-7020000	LPCAT3
12:7090000-7095000	C1R
12:7105000-7110000	C1RL
12:7125000-7130000	RBP5
12:7125000-7130000	CLSTN3
12:7185000-7190000	PEX5
12:7300000-7305000	ACSM4
12:7475000-7480000	CD163L1
12:7500000-7505000	CD163
12:7665000-7670000	APOBEC1
12:7695000-7700000	GDF3
12:7710000-7715000	DPPA3
12:7750000-7755000	CLEC4C
12:7765000-7770000	NANOGNB
12:7785000-7790000	NANOG
12:7890000-7895000	SLC2A14
12:7935000-7940000	SLC2A3
12:8030000-8035000	FOXJ2
12:8065000-8070000	C3AR1
12:8075000-8080000	NECAP1
12:8120000-8125000	CLEC4A
12:8135000-8140000	RP11-266K4.16
12:8155000-8160000	ZNF705A
12:8225000-8230000	FAM90A1
12:8455000-8460000	CLEC6A
12:8505000-8510000	CLEC4D
12:8540000-8545000	CLEC4E
12:8610000-8615000	AICDA
12:8660000-8665000	MFAP5
12:8680000-8685000	RIMKLB
12:8820000-8825000	A2ML1
12:8910000-8915000	PHC1
12:8945000-8950000	M6PR
12:8950000-8955000	KLRG1
12:9115000-9120000	A2M
12:9205000-9210000	PZP
12:9605000-9610000	KLRB1
12:9660000-9665000	CLEC2D
12:9730000-9735000	CLECL1
12:9760000-9765000	CD69
12:9825000-9830000	KLRF1
12:9865000-9870000	CLEC2B
12:9880000-9885000	KLRF2
12:9930000-9935000	CLEC2A
12:9950000-9955000	CLEC12A
12:10010000-10015000	CLEC1B
12:10010000-10015000	CLEC12B
12:10030000-10035000	CLEC9A
12:10110000-10115000	CLEC1A
12:10130000-10135000	CLEC7A
12:10170000-10175000	OLR1
12:10170000-10175000	TMEM52B
12:10210000-10215000	GABARAPL1
12:10225000-10230000	KLRD1
12:10390000-10395000	KLRK1
12:10405000-10410000	KLRC4
12:10410000-10415000	KLRC4-KLRK1
12:10420000-10425000	KLRC3
12:10435000-10440000	RP11-277P12.6
12:10440000-10445000	KLRC2
12:10450000-10455000	KLRC1
12:10505000-10510000	EIF2S3B
12:10610000-10615000	MAGOHB
12:10670000-10675000	STYK1
12:10720000-10725000	YBX3
12:10800000-10805000	TAS2R7
12:10805000-10810000	TAS2R8
12:10810000-10815000	TAS2R9
12:10825000-10830000	TAS2R10
12:10845000-10850000	PRR4
12:10905000-10910000	TAS2R13
12:10925000-10930000	PRH2
12:10985000-10990000	TAS2R50
12:10995000-11000000	TAS2R20
12:11020000-11025000	TAS2R19
12:11030000-11035000	TAS2R31
12:11060000-11065000	TAS2R46
12:11090000-11095000	TAS2R43
12:11130000-11135000	TAS2R30
12:11170000-11175000	PRH1
12:11170000-11175000	PRH1-PRR4
12:11170000-11175000	TAS2R14
12:11170000-11175000	SMIM10L1
12:11185000-11190000	TAS2R42
12:11265000-11270000	PRB3
12:11310000-11315000	PRB4
12:11395000-11400000	PRB1
12:11500000-11505000	PRB2
12:11645000-11650000	ETV6
12:12045000-12050000	BCL2L14
12:12265000-12270000	LRP6
12:12350000-12355000	MANSC1
12:12355000-12360000	BORCS5
12:12560000-12565000	DUSP16
12:12610000-12615000	CREBL2
12:12685000-12690000	CDKN1B
12:12695000-12700000	GPR19
12:12725000-12730000	APOLD1
12:12810000-12815000	DDX47
12:12890000-12895000	GPRC5A
12:12950000-12955000	GPRC5D
12:13000000-13005000	HEBP1
12:13040000-13045000	FAM234B
12:13100000-13105000	GSG1
12:13195000-13200000	EMP1
12:13980000-13985000	GRIN2B
12:14365000-14370000	ATF7IP
12:14565000-14570000	PLBD1
12:14695000-14700000	GUCY2C
12:14770000-14775000	H4-16
12:14770000-14775000	H2AJ
12:14800000-14805000	WBP11
12:14800000-14805000	C12orf60
12:14810000-14815000	SMCO3
12:14840000-14845000	ART4
12:14885000-14890000	MGP
12:14935000-14940000	ERP27
12:14960000-14965000	ARHGDIB
12:14970000-14975000	PDE6H
12:15320000-15325000	PTPRO
12:15345000-15350000	RERG
12:15880000-15885000	EPS8
12:15880000-15885000	STRAP
12:15910000-15915000	DERA
12:16275000-16280000	SLC15A5
12:16345000-16350000	MGST1
12:16610000-16615000	LMO3
12:18240000-18245000	PIK3C2G
12:18320000-18325000	RERGL
12:18735000-18740000	PLCZ1
12:18735000-18740000	CAPZA3
12:19125000-19130000	PLEKHA5
12:19400000-19405000	AEBP2
12:20365000-20370000	PDE3A
12:20695000-20700000	SLCO1C1
12:20810000-20815000	SLCO1B3
12:20815000-20820000	SLCO1B3-SLCO1B7
12:21045000-21050000	RP11-125O5.2
12:21130000-21135000	SLCO1B1
12:21350000-21355000	IAPP
12:21415000-21420000	SLCO1A2
12:21435000-21440000	PYROXD1
12:21500000-21505000	RECQL
12:21500000-21505000	GOLT1B
12:21525000-21530000	SPX
12:21600000-21605000	GYS2
12:21655000-21660000	RP11-501E24.9
12:21755000-21760000	LDHB
12:21775000-21780000	KCNJ8
12:21940000-21945000	ABCC9
12:22045000-22050000	CMAS
12:22435000-22440000	ST8SIA1
12:22540000-22545000	C2CD5
12:22625000-22630000	ETNK1
12:24560000-24565000	SOX5
12:24945000-24950000	BCAT1
12:25000000-25005000	IRAG2
12:25195000-25200000	CFAP94
12:25195000-25200000	ETFRF1
12:25250000-25255000	KRAS
12:25645000-25650000	LMNTD1
12:25955000-25960000	RASSF8
12:26120000-26125000	SSPN
12:26125000-26130000	BHLHE41
12:26830000-26835000	ITPR2
12:26935000-26940000	INTS13
12:26935000-26940000	FGFR1OP2
12:27010000-27015000	TM7SF3
12:27020000-27025000	MED21
12:27080000-27085000	C12orf71
12:27240000-27245000	STK38L
12:27330000-27335000	ARNTL2
12:27465000-27470000	SMCO2
12:27520000-27525000	PPFIBP1
12:27695000-27700000	REP15
12:27710000-27715000	MRPS35
12:27780000-27785000	MANSC4
12:27780000-27785000	KLHL42
12:27970000-27975000	PTHLH
12:28130000-28135000	CCDC91
12:29145000-29150000	FAR2
12:29380000-29385000	ERGIC2
12:29495000-29500000	OVCH1
12:29780000-29785000	TMTC1
12:30695000-30700000	IPO8
12:30750000-30755000	CAPRIN2
12:30925000-30930000	TSPAN11
12:31070000-31075000	DDX11
12:31325000-31330000	SINHCAF
12:31590000-31595000	DENND5B
12:31645000-31650000	ETFBKMT
12:31725000-31730000	AMN1
12:31790000-31795000	H3-5
12:31955000-31960000	RESF1
12:32105000-32110000	BICD1
12:32395000-32400000	FGD4
12:32675000-32680000	DNM1L
12:32755000-32760000	YARS2
12:32895000-32900000	PKP2
12:33435000-33440000	SYT10
12:34020000-34025000	ALG10
12:38315000-38320000	ALG10B
12:38905000-38910000	CPNE8
12:39440000-39445000	KIF21A
12:39615000-39620000	ABCD2
12:39625000-39630000	C12orf40
12:40105000-40110000	SLC2A13
12:40195000-40200000	LRRK2
12:40390000-40395000	MUC19
12:40690000-40695000	CNTN1
12:41185000-41190000	PDZRN4
12:42140000-42145000	GXYLT1
12:42235000-42240000	YAF2
12:42235000-42240000	PPHLN1
12:42325000-42330000	ZCRB1
12:42590000-42595000	PRICKLE1
12:43550000-43555000	ADAMTS20
12:43755000-43760000	PUS7L
12:43755000-43760000	IRAK4
12:43805000-43810000	TWF1
12:43835000-43840000	TMEM117
12:44920000-44925000	NELL2
12:45050000-45055000	DBX2
12:45215000-45220000	ANO6
12:45725000-45730000	ARID2
12:45990000-45995000	SCAF11
12:46270000-46275000	SLC38A1
12:46370000-46375000	SLC38A2
12:46830000-46835000	SLC38A4
12:47075000-47080000	AMIGO2
12:47075000-47080000	PCED1B
12:47705000-47710000	RPAP3
12:47725000-47730000	ENDOU
12:47750000-47755000	SLC48A1
12:47770000-47775000	RAPGEF3
12:47830000-47835000	HDAC7
12:47940000-47945000	VDR
12:47960000-47965000	TMEM106C
12:48000000-48005000	COL2A1
12:48105000-48110000	SENP1
12:48105000-48110000	PFKM
12:48180000-48185000	ASB8
12:48180000-48185000	CCDC184
12:48200000-48205000	OR10AD1
12:48325000-48330000	H1-7
12:48350000-48355000	ZNF641
12:48470000-48475000	ANP32D
12:48480000-48485000	C12orf54
12:48525000-48530000	OR8S1
12:48555000-48560000	OR5BS1P
12:48570000-48575000	LALBA
12:48680000-48685000	KANSL2
12:48715000-48720000	CCNT1
12:48725000-48730000	TEX49
12:48785000-48790000	ADCY6
12:48810000-48815000	CACNB3
12:48850000-48855000	DDX23
12:48865000-48870000	RND1
12:48900000-48905000	CCDC65
12:48925000-48930000	FKBP11
12:48955000-48960000	RP11-302B13.5
12:48955000-48960000	ARF3
12:48970000-48975000	WNT10B
12:48975000-48980000	WNT1
12:48995000-49000000	DDN
12:49015000-49020000	PRKAG1
12:49020000-49025000	RP11-386G11.12
12:49060000-49065000	KMT2D
12:49070000-49075000	RHEBL1
12:49090000-49095000	DHH
12:49110000-49115000	LMBR1L
12:49130000-49135000	TUBA1B
12:49185000-49190000	TUBA1A
12:49185000-49190000	TUBA1C
12:49290000-49295000	PRPH
12:49320000-49325000	TROAP
12:49335000-49340000	C1QL4
12:49345000-49350000	DNAJC22
12:49365000-49370000	SPATS2
12:49535000-49540000	KCNH3
12:49565000-49570000	MCRS1
12:49565000-49570000	PRPF40B
12:49605000-49610000	FAM186B
12:49705000-49710000	FMNL3
12:49705000-49710000	TMBIM6
12:49825000-49830000	NCKAP5L
12:49840000-49845000	BCDIN3D
12:49900000-49905000	FAIM2
12:49950000-49955000	AQP2
12:49960000-49965000	AQP5
12:49965000-49970000	AQP6
12:50030000-50035000	RACGAP1
12:50055000-50060000	ASIC1
12:50085000-50090000	SMARCD1
12:50100000-50105000	GPD1
12:50110000-50115000	COX14
12:50165000-50170000	CERS5
12:50280000-50285000	LIMA1
12:50390000-50395000	LARP4
12:50395000-50400000	FAM186A
12:50500000-50505000	DIP2B
12:50760000-50765000	ATF1
12:50840000-50845000	TMPRSS12
12:50920000-50925000	METTL7A
12:50950000-50955000	HIGD1C
12:51025000-51030000	SLC11A2
12:51045000-51050000	LETMD1
12:51080000-51085000	CSRNP2
12:51170000-51175000	TFCP2
12:51215000-51220000	POU6F1
12:51235000-51240000	DAZAP2
12:51270000-51275000	SMAGP
12:51320000-51325000	BIN2
12:51345000-51350000	CELA1
12:51390000-51395000	GALNT6
12:51390000-51395000	SLC4A8
12:51590000-51595000	SCN8A
12:51810000-51815000	TMDD1
12:51845000-51850000	FIGNL2
12:51885000-51890000	ANKRD33
12:51905000-51910000	ACVRL1
12:51950000-51955000	ACVR1B
12:52005000-52010000	TAMALIN
12:52020000-52025000	NR4A1
12:52065000-52070000	ATG101
12:52075000-52080000	SMIM41
12:52190000-52195000	KRT80
12:52230000-52235000	KRT7
12:52245000-52250000	KRT86
12:52290000-52295000	KRT81
12:52320000-52325000	KRT83
12:52365000-52370000	KRT85
12:52385000-52390000	KRT84
12:52405000-52410000	KRT82
12:52430000-52435000	KRT75
12:52450000-52455000	KRT6B
12:52470000-52475000	KRT6C
12:52490000-52495000	KRT6A
12:52520000-52525000	KRT5
12:52550000-52555000	KRT71
12:52570000-52575000	KRT74
12:52600000-52605000	KRT72
12:52615000-52620000	KRT73
12:52650000-52655000	KRT2
12:52680000-52685000	KRT1
12:52700000-52705000	KRT77
12:52775000-52780000	KRT76
12:52795000-52800000	KRT3
12:52810000-52815000	KRT4
12:52830000-52835000	KRT79
12:52845000-52850000	KRT78
12:52945000-52950000	KRT8
12:52945000-52950000	KRT18
12:53005000-53010000	EIF4B
12:53045000-53050000	TNS2
12:53075000-53080000	SPRYD3
12:53095000-53100000	IGFBP6
12:53100000-53105000	SOAT2
12:53180000-53185000	CSAD
12:53180000-53185000	ZNF740
12:53205000-53210000	ITGB7
12:53230000-53235000	RARG
12:53240000-53245000	RP11-624J6.2
12:53250000-53255000	MFSD5
12:53265000-53270000	ESPL1
12:53295000-53300000	PFDN5
12:53295000-53300000	MYG1
12:53320000-53325000	AAAS
12:53345000-53350000	SP7
12:53380000-53385000	SP1
12:53420000-53425000	AMHR2
12:53440000-53445000	PRR13
12:53450000-53455000	PCBP2
12:53500000-53505000	MAP3K12
12:53500000-53505000	TARBP2
12:53505000-53510000	NPFF
12:53625000-53630000	ATF7-NPFF
12:53625000-53630000	ATF7
12:53675000-53680000	ATP5MC2
12:53725000-53730000	CALCOCO1
12:53935000-53940000	HOXC13
12:53950000-53955000	HOXC12
12:53970000-53975000	HOXC11
12:53985000-53990000	HOXC10
12:53985000-53990000	RP11-834C11.12
12:53990000-53995000	HOXC6
12:53990000-53995000	HOXC9
12:54005000-54010000	HOXC8
12:54015000-54020000	HOXC4
12:54030000-54035000	HOXC5
12:54185000-54190000	SMUG1
12:54280000-54285000	CBX5
12:54280000-54285000	HNRNPA1
12:54300000-54305000	NFE2
12:54300000-54305000	COPZ1
12:54360000-54365000	GPR84
12:54390000-54395000	ZNF385A
12:54415000-54420000	ITGA5
12:54470000-54475000	GTSF1
12:54495000-54500000	NCKAP1L
12:54545000-54550000	PDE1B
12:54585000-54590000	PPP1R1A
12:54630000-54635000	LACRT
12:54645000-54650000	DCD
12:54830000-54835000	MUCL1
12:54980000-54985000	TESPA1
12:55015000-55020000	NEUROD4
12:55125000-55130000	OR9K2
12:55220000-55225000	OR10A7
12:55245000-55250000	OR6C74
12:55295000-55300000	OR6C6
12:55310000-55315000	OR6C1
12:55330000-55335000	OR6C3
12:55360000-55365000	OR6C75
12:55400000-55405000	OR6C65
12:55425000-55430000	OR6C76
12:55440000-55445000	OR6C2
12:55470000-55475000	OR6C70
12:55490000-55495000	OR6C68
12:55545000-55550000	OR6C4
12:55570000-55575000	OR2AP1
12:55635000-55640000	OR10P1
12:55680000-55685000	METTL7B
12:55715000-55720000	ITGA7
12:55715000-55720000	RP11-644F5.10
12:55715000-55720000	BLOC1S1
12:55720000-55725000	RDH5
12:55725000-55730000	CD63
12:55740000-55745000	GDF11
12:55815000-55820000	SARNP
12:55815000-55820000	ORMDL2
12:55825000-55830000	RP11-762I7.5
12:55830000-55835000	DNAJC14
12:55840000-55845000	MMP19
12:55925000-55930000	DGKA
12:55930000-55935000	PYM1
12:55965000-55970000	CDK2
12:55970000-55975000	PMEL
12:55970000-55975000	RAB5B
12:55995000-56000000	SUOX
12:56005000-56010000	IKZF4
12:56040000-56045000	RPS26
12:56075000-56080000	ERBB3
12:56100000-56105000	RP11-603J24.9
12:56100000-56105000	PA2G4
12:56115000-56120000	RPL41
12:56115000-56120000	ESYT1
12:56115000-56120000	ZC3H10
12:56150000-56155000	MYL6B
12:56155000-56160000	MYL6
12:56185000-56190000	SMARCC2
12:56220000-56225000	RNF41
12:56220000-56225000	NABP2
12:56230000-56235000	SLC39A5
12:56255000-56260000	ANKRD52
12:56265000-56270000	COQ10A
12:56300000-56305000	CS
12:56315000-56320000	RP11-977G19.10
12:56315000-56320000	CNPY2
12:56330000-56335000	PAN2
12:56330000-56335000	IL23A
12:56360000-56365000	STAT2
12:56360000-56365000	APOF
12:56445000-56450000	TIMELESS
12:56465000-56470000	MIP
12:56465000-56470000	SPRYD4
12:56485000-56490000	RP11-121C6.6
12:56485000-56490000	GLS2
12:56520000-56525000	RBMS2
12:56635000-56640000	BAZ2A
12:56645000-56650000	ATP5F1B
12:56685000-56690000	PTGES3
12:56730000-56735000	NACA
12:56740000-56745000	RP11-112B10.2
12:56750000-56755000	PRIM1
12:56750000-56755000	HSD17B6
12:56930000-56935000	SDR9C7
12:56955000-56960000	RDH16
12:56990000-56995000	GPR182
12:57005000-57010000	ZBTB39
12:57025000-57030000	TAC3
12:57050000-57055000	MYO1A
12:57085000-57090000	NEMP1
12:57085000-57090000	NAB2
12:57125000-57130000	LRP1
12:57130000-57135000	STAT6
12:57215000-57220000	NXPH4
12:57225000-57230000	SHMT2
12:57240000-57245000	NDUFA4L2
12:57250000-57255000	STAC3
12:57295000-57300000	RP11-123K3.4
12:57430000-57435000	R3HDM2
12:57430000-57435000	INHBC
12:57450000-57455000	INHBE
12:57455000-57460000	GLI1
12:57475000-57480000	MARS1
12:57485000-57490000	ARHGAP9
12:57520000-57525000	DDIT3
12:57520000-57525000	RP11-181L23.10
12:57520000-57525000	MBD6
12:57545000-57550000	DCTN2
12:57545000-57550000	KIF5A
12:57590000-57595000	PIP4K2C
12:57600000-57605000	DTX3
12:57610000-57615000	ARHGEF25
12:57615000-57620000	RP11-571M6.19
12:57630000-57635000	B4GALNT1
12:57690000-57695000	OS9
12:57735000-57740000	TSPAN31
12:57740000-57745000	AGAP2
12:57755000-57760000	CDK4
12:57755000-57760000	MARCHF9
12:57765000-57770000	CYP27B1
12:57770000-57775000	METTL1
12:57770000-57775000	EEF1AKMT3
12:57770000-57775000	RP11-571M6.15
12:57780000-57785000	TSFM
12:57815000-57820000	AVIL
12:57845000-57850000	CTDSP2
12:57905000-57910000	ATP23
12:58920000-58925000	LRIG3
12:59595000-59600000	SLC16A7
12:62260000-62265000	USP15
12:62275000-62280000	TAFA2
12:62465000-62470000	MON2
12:62935000-62940000	PPM1H
12:63150000-63155000	AVPR1A
12:63665000-63670000	DPY19L2
12:63775000-63780000	RXYLT1
12:63840000-63845000	SRGAP1
12:64220000-64225000	C12orf66
12:64390000-64395000	C12orf56
12:64400000-64405000	XPOT
12:64450000-64455000	TBK1
12:64505000-64510000	RASSF3
12:64755000-64760000	GNS
12:64755000-64760000	TBC1D30
12:64755000-64760000	RP11-766N7.5
12:65120000-65125000	WIF1
12:65165000-65170000	LEMD3
12:65275000-65280000	MSRB3
12:65820000-65825000	HMGA2
12:66130000-66135000	LLPH
12:66165000-66170000	RP11-745O10.4
12:66170000-66175000	TMBIM4
12:66185000-66190000	IRAK3
12:66300000-66305000	HELB
12:67065000-67070000	GRIP1
12:67265000-67270000	CAND1
12:67645000-67650000	DYRK2
12:68155000-68160000	IFNG
12:68225000-68230000	IL26
12:68250000-68255000	IL22
12:68330000-68335000	MDM1
12:68610000-68615000	RAP1B
12:68685000-68690000	NUP107
12:68745000-68750000	SLC35E3
12:68805000-68810000	MDM2
12:68970000-68975000	CPM
12:69235000-69240000	CPSF6
12:69345000-69350000	LYZ
12:69355000-69360000	YEATS4
12:69470000-69475000	FRS2
12:69585000-69590000	CCT2
12:69610000-69615000	LRRC10
12:69695000-69700000	BEST3
12:69735000-69740000	RAB3IP
12:69800000-69805000	AC025263.3
12:69825000-69830000	MYRFL
12:70240000-70245000	CNOT2
12:70365000-70370000	KCNMB4
12:70635000-70640000	PTPRB
12:70920000-70925000	PTPRR
12:71435000-71440000	LGR5
12:71440000-71445000	TSPAN8
12:71660000-71665000	THAP2
12:71665000-71670000	ZFC3H1
12:71670000-71675000	RP11-293I14.2
12:71685000-71690000	TMEM19
12:71750000-71755000	RAB21
12:71835000-71840000	TBC1D15
12:71935000-71940000	TPH2
12:72085000-72090000	TRHDE
12:74535000-74540000	ATXN7L3B
12:75205000-75210000	KCNC2
12:75330000-75335000	GLIPR1L1
12:75390000-75395000	CAPS2
12:75390000-75395000	GLIPR1L2
12:75480000-75485000	GLIPR1
12:75510000-75515000	KRR1
12:76030000-76035000	PHLDA1
12:76080000-76085000	NAP1L1
12:76345000-76350000	BBS10
12:76555000-76560000	OSBPL8
12:76760000-76765000	ZDHHC17
12:76875000-76880000	CSRP2
12:77065000-77070000	E2F7
12:77320000-77325000	NAV3
12:78860000-78865000	SYT1
12:79690000-79695000	PAWR
12:79935000-79940000	PPP1R12A
12:80095000-80100000	OTOGL
12:80400000-80405000	PTPRQ
12:80705000-80710000	MYF6
12:80715000-80720000	MYF5
12:80935000-80940000	ACSS3
12:80935000-80940000	LIN7A
12:81755000-81760000	PPFIA2
12:82355000-82360000	CCDC59
12:82355000-82360000	METTL25
12:82685000-82690000	TMTC2
12:84910000-84915000	SLC6A15
12:85035000-85040000	TSPAN19
12:85035000-85040000	LRRIQ1
12:85280000-85285000	ALX1
12:85835000-85840000	RASSF9
12:85870000-85875000	NTS
12:86835000-86840000	MGAT4C
12:88030000-88035000	C12orf50
12:88030000-88035000	C12orf29
12:88140000-88145000	CEP290
12:88140000-88145000	TMTC3
12:88580000-88585000	KITLG
12:89350000-89355000	DUSP6
12:89520000-89525000	GALNT4
12:89525000-89530000	POC1B
12:89525000-89530000	POC1B-GALNT4
12:89705000-89710000	ATP2B1
12:90955000-90960000	CCER1
12:91005000-91010000	EPYC
12:91055000-91060000	KERA
12:91110000-91115000	LUM
12:91180000-91185000	DCN
